year,name,slug,locationCode,shapeClass,shapeLabel,baseToCoreRatio,childrenShare,workingAgeShare,olderShare,incomeGroup,incomeGroupCode,worldBankCode,maleToFemale20to49,femaleToMale65Plus,workingAgeBulgeShare,youthBulgeShare,interestingTags,interestingTagLabels,notchedCohorts,maleDentCohorts,population,imagePath,pageUrl,dataUrl,imageUrl
2026,Mexico,mexico,484,bullet-column,Bullet / column,1.094,23.67,67.53,8.81,Upper middle income,UMC,MEX,0.942,1.247,44.39,24.76,,,,,132997658,/population-pyramids/2026/bullet-column/mexico.png,https://www.populationpyramid.net/mexico/2026/,https://www.populationpyramid.net/api/pp/484/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmexico%2F2026%2F%3Fshare%3Dtrue
2026,Micronesia (Fed. States of),micronesia-fed-states-of,583,high-growth-pyramid,High-growth pyramid,1.636,31.16,62.47,6.37,Upper middle income,UMC,FSM,1.015,1.438,41.19,28.68,youth-bulge,Youth bulge,,,114183,/population-pyramids/2026/high-growth-pyramid/micronesia-fed-states-of.png,https://www.populationpyramid.net/micronesia-fed-states-of/2026/,https://www.populationpyramid.net/api/pp/583/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmicronesia-fed-states-of%2F2026%2F%3Fshare%3Dtrue
2026,Mongolia,mongolia,496,high-growth-pyramid,High-growth pyramid,1.498,30.87,63.39,5.74,Upper middle income,UMC,MNG,1.036,1.577,40.81,21.76,,,,,3556798,/population-pyramids/2026/high-growth-pyramid/mongolia.png,https://www.populationpyramid.net/mongolia/2026/,https://www.populationpyramid.net/api/pp/496/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmongolia%2F2026%2F%3Fshare%3Dtrue
2026,Montenegro,montenegro,499,bullet-column,Bullet / column,0.918,17.65,63.57,18.77,Upper middle income,UMC,MNE,1.006,1.46,37.99,18.2,,,,,626233,/population-pyramids/2026/bullet-column/montenegro.png,https://www.populationpyramid.net/montenegro/2026/,https://www.populationpyramid.net/api/pp/499/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmontenegro%2F2026%2F%3Fshare%3Dtrue
2026,Morocco,morocco,504,high-growth-pyramid,High-growth pyramid,1.159,24.76,66.47,8.77,Lower middle income,LMC,MAR,1.033,1.127,43.28,23.58,,,,,38762441,/population-pyramids/2026/high-growth-pyramid/morocco.png,https://www.populationpyramid.net/morocco/2026/,https://www.populationpyramid.net/api/pp/504/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmorocco%2F2026%2F%3Fshare%3Dtrue
2026,Mozambique,mozambique,508,high-growth-pyramid,High-growth pyramid,2.685,43.85,53.44,2.71,Low income,LIC,MOZ,0.929,2.126,36.4,28.2,world-bank-fcv-fy2027; fcv-male-deficit-signal; youth-bulge; very-young-population; female-longevity-skew,World Bank Public FCV list (FY2027); FCV context with working-age male deficit; Youth bulge; Very young population; Older female surplus,,,36639851,/population-pyramids/2026/high-growth-pyramid/mozambique.png,https://www.populationpyramid.net/mozambique/2026/,https://www.populationpyramid.net/api/pp/508/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmozambique%2F2026%2F%3Fshare%3Dtrue
2026,Myanmar,myanmar,104,bullet-column,Bullet / column,1.07,23.86,68.4,7.74,Lower middle income,LMC,MMR,1.016,1.341,45.2,23.92,world-bank-fcv-fy2027,World Bank Public FCV list (FY2027),,,55184819,/population-pyramids/2026/bullet-column/myanmar.png,https://www.populationpyramid.net/myanmar/2026/,https://www.populationpyramid.net/api/pp/104/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fmyanmar%2F2026%2F%3Fshare%3Dtrue
2026,Namibia,namibia,516,high-growth-pyramid,High-growth pyramid,1.809,36.28,59.82,3.9,Lower middle income,LMC,NAM,0.973,1.693,41.59,26.04,female-longevity-skew,Older female surplus,,,3153246,/population-pyramids/2026/high-growth-pyramid/namibia.png,https://www.populationpyramid.net/namibia/2026/,https://www.populationpyramid.net/api/pp/516/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnamibia%2F2026%2F%3Fshare%3Dtrue
2026,Nepal,nepal,524,high-growth-pyramid,High-growth pyramid,1.326,27.67,65.59,6.74,Lower middle income,LMC,NPL,0.824,1.193,44.35,28.11,male-working-age-deficit; youth-bulge,Working-age male deficit; Youth bulge,,,29629409,/population-pyramids/2026/high-growth-pyramid/nepal.png,https://www.populationpyramid.net/nepal/2026/,https://www.populationpyramid.net/api/pp/524/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnepal%2F2026%2F%3Fshare%3Dtrue
2026,Netherlands,netherlands,528,low-growth-constrictive,Low-growth / constrictive,0.771,14.86,63.87,21.27,High income,HIC,NLD,1.02,1.139,38.43,18.64,,,,,18448776,/population-pyramids/2026/low-growth-constrictive/netherlands.png,https://www.populationpyramid.net/netherlands/2026/,https://www.populationpyramid.net/api/pp/528/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnetherlands%2F2026%2F%3Fshare%3Dtrue
